字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11
M57****332,5分 超棒,看到了很多熊猫很开心，虽然网红熊猫的院子前人太多没能看到，但是月亮产房和太阳产房有很多很可爱的大大小小的大熊猫。新园区里也有好多只大熊猫，熊猫雪糕和咖啡都很美味。,2022-07-11IP属地：未知,IP属地：未知,"
点赞",,2022-07-11IP属地：未知,IP属地：未知,"
点赞",
流浪的小狐狸,5分 超棒,有新区和老区，老区大多聚集在一起，新区一个个分开，体型普遍要大一些。有新生小熊猫的话，幼崽睡觉、喝奶，都能分分钟当场萌化。,2022-06-09IP属地：未知,IP属地：未知,"
2",,2022-06-09IP属地：未知,IP属地：未知,"
2",
老二123,4分 满意,以前去过两次，第一次陪我妈，第二次陪朋友，这次也是陪朋友。大熊猫怕热不怕冷，温度高在室外看不到，只能在室内看熊猫吹空调睡觉。小熊猫在室外看了。其他不做任何的评价，总体来说来成都旅游的人必去的地方，尤其是带着自己的娃娃。,2022-08-12IP属地：四川,IP属地：四川,"
点赞",,2022-08-12IP属地：四川,IP属地：四川,"
点赞",
佳音666,5分 超棒,基地一进门就有观光车，每到一站随时可以上下车，不推荐乘坐。里面环境不错，植被覆盖率很高，空气质量非常好，完全可以走着慢慢的游览。不过基地占地面积真心不小，体力不行的还是算了。基地很干净，特别值得称赞的是厕所，这是我去过全国所有景区中最干净的，部分厕所外还有休息室。 基地大熊猫分好几个区，各具特色，赶上合适的时间还有可能看到熊猫繁育，也有电视宣传相关的知识，既可以看熊猫，也可以学知识。还有相应的展览馆，介绍各种的相关知识。大熊猫多数都是在外面活动的，懒懒的在吃东西，非常可爱，可以尽情的合影留念。,2022-07-22IP属地：未知,IP属地：未知,"
点赞",,2022-07-22IP属地：未知,IP属地：未知,"
点赞",
m50****5798,5分 超棒,大熊猫博物馆里互动很多，很有趣。很幸运看到了熊猫打架，熊猫爬树，熊猫跌倒，熊猫打滚，熊猫吃竹子，还有熊猫睡觉，太可爱了哈哈哈。有一只叫安逸的熊猫，那个睡觉的姿势真的相当安逸，下辈子想当熊猫了。吃的比较贵，性价比有点低，但味道还不错。,2022-07-01IP属地：未知,IP属地：未知,"
点赞",,2022-07-01IP属地：未知,IP属地：未知,"
点赞",
_WeCh****472582,5分 超棒,去成都亲戚家玩，带我们去了成都大熊猫繁育研究基地，终于可以近距离看看咱们的国宝啦！里面环境优美，植被丰富，可惜我们是大中午过去的，大多数熊猫们都吃饱饭睡觉啦！,2022-09-13IP属地：福建,IP属地：福建,"
点赞",,2022-09-13IP属地：福建,IP属地：福建,"
点赞",
ycj逍,5分 超棒,绝对是值得一看一玩的地方;多年前跟大姐及老婆一起去玩过，那时是夏天，人很多，大熊喵也出来了，蛮好玩的，有地铁直达，消费水平及门票都可以的,2022-09-08IP属地：宁夏,IP属地：宁夏,"
1",,2022-09-08IP属地：宁夏,IP属地：宁夏,"
1",
陌上花开,5分 超棒,四川成都大熊猫繁育基地是中国最大的大熊猫乐园。看这里的大熊猫武功真高。这么小的树上她龙腾虎跃，非常灵活。这里还有各种年龄的熊猫，从刚出生到十年的大熊猫都有。六一节带孩子去玩吧。,2022-06-01IP属地：未知,IP属地：未知,"
1",,2022-06-01IP属地：未知,IP属地：未知,"
1",
M25****1869,5分 超棒,基地很大，环境很好，服务设施，卫生间什么的也很齐全，可以游玩一整天的地方，早上过去，熊猫都在吃东西，整体感觉挺好的,2022-06-14IP属地：未知,IP属地：未知,"
点赞",,2022-06-14IP属地：未知,IP属地：未知,"
点赞",
你的猪老板,5分 超棒,一开始进去没有买景区车准备自己走，结果前面走了半天热死累死全是小熊猫的区域（来之前以为小熊猫就是小时候的熊猫，原来是和干脆面差不多的另个品种） 如果单纯想看大熊猫建议直接买景区车坐到里面再逛出来,2022-07-06IP属地：未知,IP属地：未知,"
点赞",,2022-07-06IP属地：未知,IP属地：未知,"
点赞",
M49****1209,5分 超棒,对于喜欢大小熊猫的人，没有比这更有意思的地方了。虽然错过了润玥和艾玖的生日，但见到了和花和叶金双金喜等许多名猫，整个成都之行都圆满了,2022-06-05IP属地：未知,IP属地：未知,"
1",,2022-06-05IP属地：未知,IP属地：未知,"
1",
童乐湾,5分 超棒,值得一去，天气太热熊猫没出来！,2022-08-24IP属地：广东,IP属地：广东,"
点赞",,2022-08-24IP属地：广东,IP属地：广东,"
点赞",
Amanda,5分 超棒,小熊猫好小好可爱，不敢碰，远远看着，隔着保温箱，感慨生命的来之不易和脆弱，感叹一切造物主的神奇。也感恩母亲的伟大。大熊猫憨态可掬，非常笨拙，逗人发笑。,2022-07-19IP属地：未知,IP属地：未知,"
点赞",,2022-07-19IP属地：未知,IP属地：未知,"
点赞",
笑笑唯一爱嘻哈,5分 超棒,景色非常优美，值得游玩的地方，园区建设非常大，游玩的区域都分布合理。,2022-08-21IP属地：山东,IP属地：山东,"
点赞",,2022-08-21IP属地：山东,IP属地：山东,"
点赞",
草莓味的泡泡,5分 超棒,熊猫太可爱了，工作日来的人很少，几乎逛遍了熊猫基地。当然也拍到了我最喜欢的小熊猫。太治愈了，这是我来了很多次都会想再来的地方。,2022-06-08IP属地：未知,IP属地：未知,"
1",,2022-06-08IP属地：未知,IP属地：未知,"
1",
M95****23,5分 超棒,早早就到熊猫基地看熊猫，熊猫真的太可爱了，好喜欢，以后再来看他们,2022-08-11IP属地：广东,IP属地：广东,"
点赞",,2022-08-11IP属地：广东,IP属地：广东,"
点赞",
陈皮小可爱,5分 超棒,这个成都大熊猫繁育基地地方有机会得去逛逛，门票很实惠，人间值得。基地里面的熊猫宝宝太可爱了，地方大而且管理的很好，很清幽。值得推荐的一个好地方。,2022-06-30IP属地：未知,IP属地：未知,"
点赞",,2022-06-30IP属地：未知,IP属地：未知,"
点赞",
e10****30,5分 超棒,感觉真不错，看见了不同年龄的大熊猫，从刚出生到几岁都有！真是不虚此行，强烈推荐去玩的朋友到基地去看看大熊猫，还有就是尽量避开熊猫睡觉，早点去！,2022-08-01IP属地：广东,IP属地：广东,"
点赞",,2022-08-01IP属地：广东,IP属地：广东,"
点赞",
_WeCh****666067,5分 超棒,票价真不贵，熊猫是真可爱，此生第一次见到了孔雀宝宝。就逛了老区，坐观光车节省了脚力。吃了熊猫雪糕，贵但是好吃。可惜没见到刚出生的小熊猫。值得来,2022-07-06IP属地：未知,IP属地：未知,"
点赞",,2022-07-06IP属地：未知,IP属地：未知,"
点赞",
M50****0652,5分 超棒,终于看到四川的大熊猫了，算是满足了吧，熊猫很可爱，就是唯一不足的是天气太热了，熊猫都没放出来，不过熊猫宝宝们真的很可爱，而且周围生态环境也好,2022-06-27IP属地：未知,IP属地：未知,"
点赞",,2022-06-27IP属地：未知,IP属地：未知,"
点赞",
亲亲股太乐,5分 超棒,繁育基地里的大熊猫大大小小的有二百多只，这只大熊猫是整个园区里最有气派的。树上有她的太师椅宝座，看起来很舒服的样子。要是再有两个熊猫在旁边搧着扇子那就是皇上了。,2022-05-13IP属地：未知,IP属地：未知,"
5",,2022-05-13IP属地：未知,IP属地：未知,"
5",
范范,5分 超棒,很开心的一次路程,2022-08-27IP属地：四川,IP属地：四川,"
点赞",,2022-08-27IP属地：四川,IP属地：四川,"
点赞",
博士小美女,5分 超棒,成都大熊猫繁育研究基地，位于四川省成都市成华区外北熊猫大道1375号，距市中心10公里，距成都双流国际机场30余公里。成都大熊猫繁育研究基地是在成都动物园饲养、救治、繁育大熊猫的基础上建立起来的。,2022-06-01IP属地：未知,IP属地：未知,"
3",,2022-06-01IP属地：未知,IP属地：未知,"
3",
M37****937,5分 超棒,天气很热，但是也在室内看到了好几只大熊猫，还赶上了看刚出生不久的熊猫baby，小baby真的好可爱！小熊猫也在室外看到了，感觉很满足啊,2022-08-13IP属地：四川,IP属地：四川,"
点赞",,2022-08-13IP属地：四川,IP属地：四川,"
点赞",
暴走八零后,5分 超棒,都说中午下午看不到室外的熊猫，一早就赶往熊猫基地，运气不错，看到几头，不过都很懒，就只有2号公寓的三头很卖力的为游客们上演了一场斗殴秀,2022-07-18IP属地：未知,IP属地：未知,"
点赞",,2022-07-18IP属地：未知,IP属地：未知,"
点赞",
笑笑唯一爱嘻哈,5分 超棒,景点值得分享,2022-08-21IP属地：山东,IP属地：山东,"
点赞",,2022-08-21IP属地：山东,IP属地：山东,"
点赞",
笑笑唯一爱嘻哈,5分 超棒,值得一游之旅,2022-08-21IP属地：山东,IP属地：山东,"
点赞",,2022-08-21IP属地：山东,IP属地：山东,"
点赞",
困困其实不太困,5分 超棒,入住方便省心入住方便省心入住方便省心入住方便省心入住方便入住方便省心入住方便省心入住方便省心入住方便省心入住方便入住方便省心入住方便省心入住方便省心入住方便省心入住方便省心,2022-08-17IP属地：四川,IP属地：四川,"
点赞",,2022-08-17IP属地：四川,IP属地：四川,"
点赞",
困困其实不太困,5分 超棒,入住方便省心入住方便省心入住方便省心入住方便省心入住方便入住方便省心入住方便省心入住方便省心入住方便省心入住方便入住方便省心入住方便省心入住方便省心入住方便省心入住方便省心,2022-08-17IP属地：四川,IP属地：四川,"
点赞",,2022-08-17IP属地：四川,IP属地：四川,"
点赞",
小仙女lll,5分 超棒,大熊猫真可爱,2022-08-02IP属地：重庆,IP属地：重庆,"
点赞",,2022-08-02IP属地：重庆,IP属地：重庆,"
点赞",
M59****710,5分 超棒,一开始以为门票会很贵 其实还好 学生很优惠 去的时候人也不多 看到了很多熊猫 但建议早上早点去 中午熊猫都休息了🐼 不能看到很活泼的  但也很可爱,2022-07-05IP属地：未知,IP属地：未知,"
点赞",,2022-07-05IP属地：未知,IP属地：未知,"
点赞",
136****8888,5分 超棒,大熊猫基地名声在外，游客非常多，热闹，大熊猫也挺有趣的，值得一去，可惜了呀就是游客太多了，看小熊猫必须慢慢排队，一个一个的来。,2022-08-12IP属地：四川,IP属地：四川,"
点赞",,2022-08-12IP属地：四川,IP属地：四川,"
点赞",
M58****65,5分 超棒,起早去的大熊猫基地，国宝非常给力，都在用心吃竹子，时不时卖个萌，两个活泼宝宝还打了一架，饲养员捞口罩的时候，兴冲冲的跑来看热闹,2022-07-08IP属地：未知,IP属地：未知,"
点赞",,2022-07-08IP属地：未知,IP属地：未知,"
点赞",
宋家海螺,5分 超棒,熊猫们超可爱的，不过要早点去才可以看到熊猫们哦，晚去就看不到熊猫吃播了，就只能看到它睡觉，所以想要去看熊猫们的，一定要早起去哦,2022-06-30IP属地：未知,IP属地：未知,"
点赞",,2022-06-30IP属地：未知,IP属地：未知,"
点赞",
_X_Y_,5分 超棒,购票方便，从市区打车过去很近，近距离看大熊猫和小熊猫都很可爱，吃东西也便利，周边产品多多，非常适合半天玩乐，亲子出游优选。,2022-07-19IP属地：未知,IP属地：未知,"
点赞",,2022-07-19IP属地：未知,IP属地：未知,"
点赞",
_wech****776110,5分 超棒,大熊猫很可爱，就是园区里面很热。不过可以看到可爱的大熊猫，这么热也值得了。景区的卫生间很人性化。也有卖吃的和水都不算很贵。,2022-07-15IP属地：未知,IP属地：未知,"
点赞",,2022-07-15IP属地：未知,IP属地：未知,"
点赞",
