 字段 1 , 字段 2 , 字段 3 , 字段 4 , 字段 5 , 字段 6 , 字段 7 , 字段 8 , 字段 9 , 字段 10 , 字段 11 
 彩色 栀子 , 5 分   超棒 , 景区 门票 可以 在 门口 扫 二维码 购票 ， 也 可以 在 携程 上 购票 ， 有 折扣 。 可以 在 非 高峰期 去 ， 因为 高峰期 小孩子 太多 了 ！ , 2022 - 06 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  , 2022 - 06 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  
 陌上 花 开  , 5 分   超棒 , 四川 成都 大熊猫 繁育 基地 的 明星 们 轮流 出场 了 。 看看 吧 ， 吃 有 吃 相 ， 走 有 走 相 ， 打有 打相 ， 玩有 玩 相 。 处处 有人 围观 ， 时时 有人 鼓掌 。 功夫 熊猫 。 名不虚传 。 最 喜欢 这里 了 ， 玩 了 一天 也 没 觉得 累 。 太棒了 。 , 2022 - 07 - 31IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 2 " ,  , 2022 - 07 - 31IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 2 " ,  
 橘子 游 , 5 分   超棒 , 交通 : 停车 方便 ， 有 好几个 停车场 ， 停 了 三个 多 小时 也 才 四元   门票 : 网上 购买 ， 告别 排队 买票 ， 直接 刷 身份证 入园   大熊猫 一般 都 是 关着 在 各自 的 别墅 里 活动 的 ， 很多 都 是 躺 着 ， 睡着 。 不过 我们 运气 比较 好 ， 中午 一点 左右 遇到 给 熊猫 投食 ， 感兴趣 的 可以 去 我 主页 看看 。 最后 一张 是 小熊猫 , 2022 - 06 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 06 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 陌上 花 开  , 5 分   超棒 , 在 四川 成都 大熊猫 繁育 基地 里 有 几只 大熊猫 是 享受 贵宾 待遇 的 。 单独 的 别墅 里 卫生 清洁 ， 宽敞明亮 ， 食物 应有尽有 ， 过 着 无人 打扰 ， 悠闲自在 的 的 贵族 生活 ， 她们 个个 长得 相貌 英俊 ， 体态 健壮 ， 好羡慕 这 无忧无虑 的 富裕 日子 。 , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 138 * * * * 9787 , 5 分   超棒 , 市区 地铁 一号线 直达 熊猫 基地 ， 园区 面积 很大 ， 分 新区 和 老区 ， 游览 可 选 观光车 或者 步行 ， 分 熊猫 幼崽馆 ， 小 熊猫馆 和 大 熊猫馆 ， 暑假 人 不算 多 ， 推荐 , 2022 - 08 - 14IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  , 2022 - 08 - 14IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  
 Watson ~ 华 , 5 分   超棒 , 见到 国宝 大熊猫 和 小熊猫 ， 挺 有趣 的 亲子活动 ， 了解 生物 与 自然 ， 生命 的 意义 。 园区 其实 挺大 ， 可惜 夏天 太热 ， 熊猫 都 懒懒 的 待 在 空调 房 内 睡大觉 哈哈 ， 对于 游客 来说 ， 自然 也 是 有点 遗憾 吧 。 , 2022 - 08 - 13IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  , 2022 - 08 - 13IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  
 chrissy3560 , 4 分   满意 , 夏天 ， 早晨 8 - 10 点 熊猫 活跃 。   在 景区 外面 ， 买好 头饰 ， 玩偶 等 饰品 ， 拍照 用 。   新区 那边 目前 没意思 ， 绿化 还 没 成熟 ， 没有 树荫 ， 秋天 可以 去 ， 夏天 没 必要 过去 。 就 在 老区 细致 参观 就 好 。 , 2022 - 08 - 27IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  , 2022 - 08 - 27IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  
 110 * * * * 891 , 5 分   超棒 , 孩子 同学 们 约 起 去 耍 ， 回来 反馈 很 不错 。 不再 见 了 ， 大熊猫 还 看到 了 小熊猫 ， 后来 在 出行 的 时候 真 见到 了 一只 真正 野生 的 小熊猫 ， 非常 兴奋 。 , 2022 - 08 - 27IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 27IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 _ 小 蘑菇 菇菇 , 5 分   超棒 , 看到 了 熊猫 本猫 吃 竹子 ！ 刚 开始 中午 他们 都 在 睡觉 ， 下午 四点 多 终于 醒 了 ， 看到 了 真实 的 国宝 ！ 不虚此行 ， 太 满足 了 ！ 景区 设施 很 完善 ！ ！ 很 满意 的 景点 ， 一点 都 不 踩 雷 ！ 非常 值得 来 ！ , 2022 - 06 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  , 2022 - 06 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  
 我 爱 一个 人 的 旅游 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 ， 熊猫 的 5A 景区 ， 大熊猫 在 这里 享受 生活 、 享受 快乐 ， 展现 个性 和 爱好 ， 在 这里 ， 它们 享受 最好 的 服务 ， 享受 万众瞩目 ， 享受 聚光灯 的 照耀 ， 没有 办法 ， 谁 叫 它们 一 出生 就是 明星 。 , 2022 - 04 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 3 " ,  , 2022 - 04 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 3 " ,  
 飞云 过境 , 4 分   满意 , 整座 基地 在 山坡 上 ， 景色宜人 ， 夏天 去 很 炎热 ， 一大早 避免 排队 去 的 ， 很少 看到 熊猫 在 室外 活动 ， 都 在 室内 避暑 。 观看 小熊猫 产房 ， 游客 太 多 ， 安保 工作人员 会 催人 。 小熊猫 比 大熊猫 活跃 ， 都 能 在 室外 看到 ， 还是 观看 小熊猫 更具 乐趣 。 , 2022 - 08 - 16IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 16IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 老二 123 , 4 分   满意 , 以前 去过 两次 ， 第一次 陪 我 妈 ， 第二次 陪 朋友 ， 这次 也 是 陪 朋友 。 大熊猫 怕热 不怕 冷 ， 温度 高 在 室外 看不到 ， 只能 在 室内 看 熊猫 吹 空调 睡觉 。 小熊猫 在 室外 看 了 。 其他 不 做 任何 的 评价 ， 总体 来说 来 成都旅游 的 人 必去 的 地方 ， 尤其 是 带 着 自己 的 娃娃 。 , 2022 - 08 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 功夫 熊猫 , 5 分   超棒 , 从 成都 市区 驱车 四十分钟 可 到达 大熊猫 繁育 研究 基地 ， 但是 一定 要 早 去 ， 一定 要 早起 ， 否则 到 晚 了 ， 人 就 特别 多 了 ， 如果 到 了 中午 ， 大熊猫 就 都 睡觉 了 ， 没有 乐趣 了 ， 作为 国宝 ， 绝对 对得起 这个 称呼 ， 太 可爱 了 ， 属于 到 成都 的 必 打卡 景点 。 , 2022 - 08 - 11IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  , 2022 - 08 - 11IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  
 熊 新峰 , 5 分   超棒 , 可 可爱 爱 的 大熊猫 ， 成都 必来 地方 。 成都 大熊猫 繁育 研究 基地 基地 总面积 达 3570 亩 ， 其中 扩建 区 面积 为 2535 亩 。 基地 以 造园 手法 模拟 大熊猫 野外 生态环境 ， 大熊猫 产房 、 熊猫 饲养 区 、 科研 中心 、 熊猫 医院 分布 有序 ， 若干处 豪华 熊猫 “ 别墅 ” 散落 于 山林 之中 。 扩建 区 充分 遵循 并 沿用 原始 地形 地貌 ， 利用 山体 冲沟 及 溪流 形成 山地 溪谷 多层次 景观带 ； 根据 熊猫 主题 特点 ， 将 项目 总体 划分 为 多个 区域 。 截至 2020 年末 ， 大熊猫 种群 数量 达 215 只 ， 是 全球 最大 的 圈养 大熊猫 人工繁殖 种群 , 2022 - 07 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 Visionary168 , 5 分   超棒 , 买 的 超级 会员 终于 可以 用 上 了 ， 可以 优惠 2 块钱 🤣 ， 买 完后 ， 直接 刷 身份证 就 可以 进去 了 。 在 将近 四十度 的 高温 下 暴走 ， 幸好 里面 有 绿化 可以 挡 一下 。 早上 七点 半到 的 ， 也 要 排起 队来 ， 暑假 的 人 还 真 多 呀 。 天气 太热 了 ， 熊猫 都 吹 起 空调 来 了 ， 被 可爱 的 熊猫 萌到 了 。 个人 觉得 这里 是 成都 最 值得 去 的 地方 ， 里面 的 纪念品 有 点点 贵 。 , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 m50 * * * * 9008 , 4 分   满意 , 节假日 一定 早点 去 ， 尤其 夏季 。 人 比较 多 ， 熊猫 本身 就 懒 ， 还 怕热 ， 夏天 很 热 不 出来 了 ， 出来 的 也 爬 着 ， 所以 7 点半 开门 ， 订好 票 直接 身份证 进去 。 新区 规划 比较 好 ， 室外 看不到 ， 室内 也 能 看到 。 老区 一定 要 去 月亮 产房 看看 ， 但是 注意 单循环 排队 。 , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ WeCh * * * * 38094 , 5 分   超棒 , 夏天 一定 要 早 一点 去 ， 否则 天气 热 熊猫 宝贝 就 不能 户外 玩耍 了 ！ 这是 相隔 近 20 年 第二次 来 ， 带 的 孩子 一起 ， 师傅 从 西门 停 的 车 。 西门 这边 很大 ， 距离 很 远 ， 每个 馆 有 两只 熊猫 宝宝 ， 要 想 看 户外活动 的 熊猫 ， 还 得 去 老区 那边 ， 可惜 我们 顺着 西门 的 馆子 逛过去 ， 快 中午 了 熊猫 都 热 的 回屋 了 ！ 不管怎样 ， 熊猫 超级 可爱 ， 孩子 很 开心 ！   老区 出口 有 很多 卖 熊猫 周边 的 ， 熊猫 玩偶 外面 好 便宜 ， 和 里面 价格 差 很多 ， 如果 孩子 不是 太 着急 买 ， 出门 再 买 性价比 超高 , 2022 - 07 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 姚游 中国 , 5 分   超棒 , 熊猫 非常 可爱 。 看到 它 ， 之前 所有 的 不 愉快 都 能 治愈 。 建议 10 点 之前 到 。 晚 了 熊猫 就 会 睡觉 啦 。 这个 景区 疫情 防控 很 奇葩 ， 需要 四川省 24 小时 核酸 报告 ， 其他 地方 不认 。 检查 核酸 和 健康 码 的 服务 也 很 差劲 。 很多 外省 ， 就是 专门 飞过 来看 大熊猫 的 。 希望 该 景区 不要 一刀切 。 , 2022 - 07 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 迪肯 孔 裴矩 , 5 分   超棒 , " 门票 敗 : 一定 一定 一定 ! 要 提前 在 网上 买好 ， 在 微信 上 搜 成都 大熊猫 繁育 基地 ， 点击 立即 购票 ， 全价 票 55 ， 半价票 27 需 配合 相关 证件 
 
 熊猫 头饰 : 如果 想要 “ 伪装 ” 成 国宝 ， 一定 要 在 园外 购买 ， 园内 的 价格 翻 了 两倍 都 不止 。 ( 所以 发家致富 的 好 方法 就是 在 园外 买 一堆 然后 进去 卖 ， 
 
 入园 : 最晚 7 点 10 分 一定 要 在 园区 外面 排上队 ， 之前 看 攻略 说 左边 的 队伍 快 ， 但 其实 哪个 队伍 都 差 不太多 ， 7 点半 准时 入场 ， 会 有 工作人员 提醒 把 二维码 提前准备 " , 2022 - 06 - 17IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 06 - 17IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 陌上 花 开  , 5 分   超棒 , 这 是 在 四川 成都 大熊猫 繁育 基地 拍 的 大熊猫 从 出生 到 长大 后 的 照片 。 很 惊讶 ， 大熊猫 刚出生 才 有 小 拇 手指 那么 大 ， 然后 迅速 成长 ， 两岁 就是 成年 了 ， 体重 200 斤 。 是不是 很 刺激 呀 。 , 2022 - 05 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 4 " ,  , 2022 - 05 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 4 " ,  
 Tiger _ 1962 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 是 全球 最大 的 大熊猫 繁育 研究 基地 ， 是 国家 4A 级 旅游 景区 。 园内 有 模拟 大熊猫 野外 生存 的 生态环境 ， 有 大熊猫 室内 和 室外 的 的 活动场所 ， 在 室内 游客 可以 近距离 的 观看 大熊猫 憨态可掬 的 样子 。 , 2022 - 06 - 25IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 06 - 25IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 我 爱 一个 人 的 旅游 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 ， 是 人们 参观 大熊猫 生活习惯 的 地方 ， 也 是 大熊猫 的 家 。 这里 绿树成荫 ， 水质 清澈 ， 为了 让 大熊猫 每天 吃 上 可口 的 美味 ， 竹子林 特别 多 。 , 2022 - 07 - 30IP 属地 ： 贵州 , IP 属地 ： 贵州 , "  
 点赞 " ,  , 2022 - 07 - 30IP 属地 ： 贵州 , IP 属地 ： 贵州 , "  
 点赞 " ,  
 陌上 花 开  , 5 分   超棒 , 这是 四川 成都 大熊猫 繁育 基地 里 最 悠闲自在 的 一只 大熊猫 了 。 你 看 他 背靠 树杈 ， 一副 懒洋洋 悠闲自得 的 样子 。 独享 这 青春年华 。 时不时 的 还 用 脚骚 骚痒 。 太 好玩 了 , 2022 - 06 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  , 2022 - 06 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  
 密密麻麻 , 5 分   超棒 , 很 不错 ， 要 早 去 最好 8 点 之前 。 不然 人会 很多 ！ 身体 不好 的 一定 要 做 游览车 ！ 走路 太累 了 ！ 国宝     小熊猫     孔雀 都 可以 看到 ！ 竹林     树木 环绕     最后 还 可以 买买 文创 产品 ！ 景区 有 旅游 大巴车     到 宽窄 巷子 才 5 元 钱 ！ , 2022 - 07 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 陌上 花 开  , 5 分   超棒 , 大熊猫 和 小孩子 一样 ， 就 喜欢 在 一起 打打闹闹 ， 。 你 看 ， 这三只 大熊猫 吃饱 了 喝足 了 ， 就 开始 打闹 玩耍 了 ， 没有 国界 ， 不 分 种族 ， 不 记仇 ， 不拉帮 。 文明 打闹 ， 强身健体 。 赞 一个 。 , 2022 - 06 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 06 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 家明 . , 4 分   满意 , 这里 是 看 熊猫 的 最佳 地点 ， 数量 很多 ， 虽然 现在 不能 摸 了 ， 但 近距离 观看 也 很 满足 ， 胖达 真的 是 世界 上 最 可爱 的 动物 ， 好 想 尝尝 它 的 肉 是 什么 味道 呀 ～ , 2022 - 08 - 28IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 28IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 斗鱼 1988 , 4 分   满意 , 应为 夏天 ， 熊猫 都 在 产房 纳凉 ， 大概 10 多只 ， 不 推荐 去 。   地方 太大 了 ， 都 是 林子 ， 疫情 期间 博物馆 和 剧场 都 没 看 。 其他 小熊猫 3 只 ， 孔雀 2 只 。 , 2022 - 08 - 09IP 属地 ： 陕西 , IP 属地 ： 陕西 , "  
 点赞 " ,  , 2022 - 08 - 09IP 属地 ： 陕西 , IP 属地 ： 陕西 , "  
 点赞 " ,  
 小猴子 的 影子 , 5 分   超棒 , 成都 比较 值得 来 的 一个 景点 ， 熊猫 专线 直达 景区 门口 ， 交通 非常 方便 ！ 里面 各种 熊猫 的 房间 ， 能够 玩 上半天 ， 可惜 没 看见 刚生 出来 的 小熊猫 ！ , 2022 - 04 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 4 " ,  , 2022 - 04 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 4 " ,  
 M57 * * * * 332 , 5 分   超棒 , 看到 了 很多 熊猫 很 开心 ， 虽然 网红 熊猫 的 院子 前人 太多 没能 看到 ， 但是 月亮 产房 和 太阳 产房 有 很多 很 可爱 的 大大小小 的 大熊猫 。 新 园区 里 也 有 好多 只 大熊猫 ， 熊猫 雪糕 和 咖啡 都 很 美味 。 , 2022 - 07 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 流浪 的 小 狐狸 , 5 分   超棒 , 有 新区 和 老区 ， 老区 大多 聚集 在 一起 ， 新区 一个个 分开 ， 体型 普遍 要 大 一些 。 有 新生 小熊猫 的话 ， 幼崽 睡觉 、 喝奶 ， 都 能分 分钟 当场 萌化 。 , 2022 - 06 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  , 2022 - 06 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 2 " ,  
 老二 123 , 4 分   满意 , 以前 去过 两次 ， 第一次 陪 我 妈 ， 第二次 陪 朋友 ， 这次 也 是 陪 朋友 。 大熊猫 怕热 不怕 冷 ， 温度 高 在 室外 看不到 ， 只能 在 室内 看 熊猫 吹 空调 睡觉 。 小熊猫 在 室外 看 了 。 其他 不 做 任何 的 评价 ， 总体 来说 来 成都旅游 的 人 必去 的 地方 ， 尤其 是 带 着 自己 的 娃娃 。 , 2022 - 08 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 佳音 666 , 5 分   超棒 , 基地 一 进门 就 有 观光车 ， 每到 一站 随时 可以 上下车 ， 不 推荐 乘坐 。 里面 环境 不错 ， 植被 覆盖率 很 高 ， 空气质量 非常 好 ， 完全 可以 走 着 慢慢 的 游览 。 不过 基地 占地面积 真心 不小 ， 体力 不行 的 还是 算了 。 基地 很 干净 ， 特别 值得称赞 的 是 厕所 ， 这 是 我 去过 全国 所有 景区 中 最 干净 的 ， 部分 厕所 外 还有 休息室 。   基地 大熊猫 分 好几个 区 ， 各具特色 ， 赶上 合适 的 时间 还有 可能 看到 熊猫 繁育 ， 也 有 电视 宣传 相关 的 知识 ， 既 可以 看 熊猫 ， 也 可以 学 知识 。 还有 相应 的 展览馆 ， 介绍 各种 的 相关 知识 。 大熊猫 多数 都 是 在 外面 活动 的 ， 懒懒 的 在 吃 东西 ， 非常 可爱 ， 可以 尽情 的 合影留念 。 , 2022 - 07 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 22IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 m50 * * * * 5798 , 5 分   超棒 , 大熊猫 博物馆 里 互动 很多 ， 很 有趣 。 很 幸运 看到 了 熊猫 打架 ， 熊猫 爬树 ， 熊猫 跌倒 ， 熊猫 打滚 ， 熊猫 吃 竹子 ， 还有 熊猫 睡觉 ， 太 可爱 了 哈哈哈 。 有 一只 叫 安逸 的 熊猫 ， 那个 睡觉 的 姿势 真的 相当 安逸 ， 下辈子 想当 熊猫 了 。 吃 的 比较 贵 ， 性价比 有点 低 ， 但 味道 还 不错 。 , 2022 - 07 - 01IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 01IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ WeCh * * * * 472582 , 5 分   超棒 , 去 成都 亲戚家 玩 ， 带 我们 去 了 成都 大熊猫 繁育 研究 基地 ， 终于 可以 近距离 看看 咱们 的 国宝 啦 ！ 里面 环境优美 ， 植被 丰富 ， 可惜 我们 是 大 中午 过去 的 ， 大多数 熊猫 们 都 吃饱 饭 睡觉 啦 ！ , 2022 - 09 - 13IP 属地 ： 福建 , IP 属地 ： 福建 , "  
 点赞 " ,  , 2022 - 09 - 13IP 属地 ： 福建 , IP 属地 ： 福建 , "  
 点赞 " ,  
 ycj 逍 , 5 分   超棒 , 绝对 是 值得一看 一玩 的 地方 ; 多年 前 跟 大姐 及 老婆 一起 去 玩 过 ， 那时 是 夏天 ， 人 很多 ， 大熊 喵 也 出来 了 ， 蛮 好玩 的 ， 有 地铁 直达 ， 消费水平 及 门票 都 可以 的 , 2022 - 09 - 08IP 属地 ： 宁夏 , IP 属地 ： 宁夏 , "  
 1 " ,  , 2022 - 09 - 08IP 属地 ： 宁夏 , IP 属地 ： 宁夏 , "  
 1 " ,  
